Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
17,Sun Dec 17 2023,18:00,CET/+0100,Puskás FC,0-0,0-0,Mezőkövesdi SE,2023-12-17T17:00Z
18,Fri Feb 2 2024,20:00,CET/+0100,MTK Budapest,3-0,2-0,Újpest FC,2024-02-02T19:00Z
18,Sat Feb 3 2024,15:00,CET/+0100,Kisvárda FC,1-3,0-1,Ferencvárosi TC,2024-02-03T14:00Z
18,Sat Feb 3 2024,17:30,CET/+0100,Debreceni VSC,2-2,0-0,Diósgyöri VTK,2024-02-03T16:30Z
18,Sat Feb 3 2024,12:30,CET/+0100,Zalaegerszegi TE,3-1,2-0,Fehérvár FC,2024-02-03T11:30Z
18,Sun Feb 4 2024,15:00,CET/+0100,Mezőkövesdi SE,0-3,0-3,Kecskeméti TE,2024-02-04T14:00Z
18,Sun Feb 4 2024,17:30,CET/+0100,Paksi SE,2-1,1-0,Puskás FC,2024-02-04T16:30Z
19,Tue Feb 6 2024,20:00,CET/+0100,Ferencvárosi TC,5-1,1-1,MTK Budapest,2024-02-06T19:00Z
19,Tue Feb 6 2024,17:45,CET/+0100,Újpest FC,1-2,0-0,Debreceni VSC,2024-02-06T16:45Z
19,Wed Feb 7 2024,20:00,CET/+0100,Puskás FC,0-1,0-1,Zalaegerszegi TE,2024-02-07T19:00Z
19,Wed Feb 7 2024,17:45,CET/+0100,Kisvárda FC,1-2,0-0,Fehérvár FC,2024-02-07T16:45Z
19,Thu Feb 8 2024,16:00,CET/+0100,Mezőkövesdi SE,0-1,0-0,Paksi SE,2024-02-08T15:00Z
19,Thu Feb 8 2024,20:00,CET/+0100,Kecskeméti TE,2-1,1-0,Diósgyöri VTK,2024-02-08T19:00Z
20,Sat Feb 10 2024,15:00,CET/+0100,MTK Budapest,0-2,0-2,Fehérvár FC,2024-02-10T14:00Z
20,Sat Feb 10 2024,17:30,CET/+0100,Debreceni VSC,1-2,1-1,Ferencvárosi TC,2024-02-10T16:30Z
20,Sat Feb 10 2024,12:30,CET/+0100,Kisvárda FC,0-2,0-2,Puskás FC,2024-02-10T11:30Z
20,Sun Feb 11 2024,12:30,CET/+0100,Paksi SE,1-0,0-0,Kecskeméti TE,2024-02-11T11:30Z
20,Sun Feb 11 2024,14:45,CET/+0100,Diósgyöri VTK,1-2,0-1,Újpest FC,2024-02-11T13:45Z
20,Sun Feb 11 2024,19:45,CET/+0100,Zalaegerszegi TE,1-1,1-0,Mezőkövesdi SE,2024-02-11T18:45Z
21,Fri Feb 16 2024,20:00,CET/+0100,Paksi SE,3-4,2-0,Zalaegerszegi TE,2024-02-16T19:00Z
21,Sat Feb 17 2024,15:30,CET/+0100,Mezőkövesdi SE,1-2,1-1,Kisvárda FC,2024-02-17T14:30Z
21,Sat Feb 17 2024,13:00,CET/+0100,Kecskeméti TE,1-0,1-0,Újpest FC,2024-02-17T12:00Z
21,Sun Feb 18 2024,17:30,CET/+0100,Puskás FC,6-1,3-0,MTK Budapest,2024-02-18T16:30Z
21,Sun Feb 18 2024,15:00,CET/+0100,Fehérvár FC,1-0,1-0,Debreceni VSC,2024-02-18T14:00Z
22,Fri Feb 23 2024,20:00,CET/+0100,MTK Budapest,3-1,1-1,Mezőkövesdi SE,2024-02-23T19:00Z
22,Sat Feb 24 2024,12:30,CET/+0100,Zalaegerszegi TE,3-1,2-0,Kecskeméti TE,2024-02-24T11:30Z
22,Sat Feb 24 2024,15:00,CET/+0100,Diósgyöri VTK,4-0,1-0,Fehérvár FC,2024-02-24T14:00Z
22,Sat Feb 24 2024,17:30,CET/+0100,Debreceni VSC,1-0,0-0,Puskás FC,2024-02-24T16:30Z
22,Sun Feb 25 2024,17:30,CET/+0100,Újpest FC,0-5,0-2,Ferencvárosi TC,2024-02-25T16:30Z
22,Sun Feb 25 2024,15:00,CET/+0100,Kisvárda FC,0-1,0-1,Paksi SE,2024-02-25T14:00Z
23,Sat Mar 2 2024,12:30,CET/+0100,Debreceni VSC,0-1,0-0,Mezőkövesdi SE,2024-03-02T11:30Z
23,Sat Mar 2 2024,14:30,CET/+0100,Kisvárda FC,1-0,1-0,Zalaegerszegi TE,2024-03-02T13:30Z
23,Sat Mar 2 2024,18:45,CET/+0100,Diósgyöri VTK,1-1,0-1,Puskás FC,2024-03-02T17:45Z
23,Sun Mar 3 2024,16:30,CET/+0100,Ferencvárosi TC,2-0,1-0,Kecskeméti TE,2024-03-03T15:30Z
23,Sun Mar 3 2024,14:00,CET/+0100,MTK Budapest,0-2,0-0,Paksi SE,2024-03-03T13:00Z
23,Sun Mar 3 2024,19:00,CET/+0100,Újpest FC,2-0,0-0,Fehérvár FC,2024-03-03T18:00Z
24,Fri Mar 8 2024,20:00,CET/+0100,Puskás FC,0-2,0-1,Újpest FC,2024-03-08T19:00Z
