Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe A,Mon Jul 11 2022,20:15,-0300,Trem AP,1-2,1-1,São Raimundo RR,,,2022-07-11T23:15Z
Gruppe H,Sat Jul 16 2022,15:00,-0300,Marcílio Dias SC,2-3,1-0,Aimoré RS,,,2022-07-16T18:00Z
Gruppe H,Sat Jul 16 2022,15:00,-0300,S.E.R. Caxias RS,1-0,1-0,Azuriz PR,,,2022-07-16T18:00Z
Gruppe H,Sat Jul 16 2022,15:00,-0300,Próspera SC,1-2,1-0,Cascavel FC PR,,,2022-07-16T18:00Z
Gruppe H,Sat Jul 16 2022,15:00,-0300,São Luiz RS,2-2,1-1,Juventus SC,,,2022-07-16T18:00Z
Gruppe D,Sat Jul 16 2022,16:00,-0300,Atlético de Alagoinhas BA,0-3,0-0,ASA AL,,,2022-07-16T19:00Z
Gruppe D,Sat Jul 16 2022,16:00,-0300,CSE AL,1-0,0-0,Juazeirense BA,,,2022-07-16T19:00Z
Gruppe D,Sat Jul 16 2022,16:00,-0300,Sergipe SE,2-0,2-0,Jacuipense BA,,,2022-07-16T19:00Z
Gruppe A,Sat Jul 16 2022,17:00,-0300,Porto Velho EC RO,8-0,2-0,Náutico RR,,,2022-07-16T20:00Z
Gruppe C,Sat Jul 16 2022,15:00,-0300,Sousa PB,1-2,1-0,América RN,,,2022-07-16T18:00Z
Gruppe C,Sat Jul 16 2022,15:00,-0300,Globo RN,1-1,0-1,Icasa CE,,,2022-07-16T18:00Z
Gruppe C,Sat Jul 16 2022,15:00,-0300,Crato CE,1-5,1-2,Retrô PE,,,2022-07-16T18:00Z
Gruppe C,Sat Jul 16 2022,15:00,-0300,Afogados da Ingazeira PE,7-0,2-0,São Paulo Crystal PB,,,2022-07-16T18:00Z
Gruppe F,Sat Jul 16 2022,16:00,-0300,Inter de Limeira SP,0-1,0-0,Caldense MG,,,2022-07-16T19:00Z
Gruppe F,Sat Jul 16 2022,16:00,-0300,U.R.T. MG,2-0,0-0,Ferroviária SP,,,2022-07-16T19:00Z
Gruppe F,Sat Jul 16 2022,16:00,-0300,Bahia de Feira BA,1-1,1-0,Nova Venécia ES,,,2022-07-16T19:00Z
Gruppe F,Sat Jul 16 2022,16:00,-0300,Real Noroeste ES,0-0,0-0,Pouso Alegre MG,,,2022-07-16T19:00Z
Gruppe D,Sat Jul 16 2022,16:00,-0300,Santa Cruz PE,1-1,1-1,Lagarto SE,,,2022-07-16T19:00Z
Gruppe A,Sun Jul 17 2022,16:00,-0300,Amazonas FC AM,6-0,3-0,Humaitá AC,,,2022-07-17T19:00Z
Gruppe A,Sun Jul 17 2022,17:00,-0300,São Raimundo RR,1-1,0-1,São Raimundo AM,,,2022-07-17T20:00Z
Gruppe A,Sun Jul 17 2022,17:00,-0300,Rio Branco AC,3-0,1-0,Trem AP,,,2022-07-17T20:00Z
Gruppe G,Sun Jul 17 2022,15:00,-0300,Portuguesa RJ,2-0,1-0,São Bernardo FC SP,,,2022-07-17T18:00Z
Gruppe G,Sun Jul 17 2022,15:00,-0300,Santo André SP,3-0,2-0,Pérolas Negras RJ,,,2022-07-17T18:00Z
Gruppe G,Sun Jul 17 2022,15:00,-0300,Paraná Clube,0-1,0-0,Oeste SP,,,2022-07-17T18:00Z
Gruppe G,Sun Jul 17 2022,15:00,-0300,Cianorte PR,0-1,0-0,Nova Iguaçu RJ,,,2022-07-17T18:00Z
Gruppe B,Sun Jul 17 2022,15:00,-0300,Fluminense PI,1-2,0-1,Juventude MA,,,2022-07-17T18:00Z
Gruppe B,Sun Jul 17 2022,17:00,-0300,Moto Club MA,2-0,1-0,Castanhal PA,,,2022-07-17T20:00Z
Gruppe B,Sun Jul 17 2022,17:00,-0300,Pacajus CE,3-1,1-0,4 de Julho PI,,,2022-07-17T20:00Z
Gruppe B,Sun Jul 17 2022,17:00,-0300,Tuna Luso PA,5-3,1-1,Tocantinópolis TO,,,2022-07-17T20:00Z
Gruppe E,Sun Jul 17 2022,16:00,-0300,Operário MT,1-0,0-0,Iporá GO,,,2022-07-17T19:00Z
Gruppe E,Sun Jul 17 2022,16:00,-0300,Costa Rica MS,0-3,0-1,Ceilândia DF,,,2022-07-17T19:00Z
Gruppe E,Sun Jul 17 2022,16:00,-0300,Brasiliense DF,1-1,0-1,Anápolis FC GO,,,2022-07-17T19:00Z
Gruppe E,Sun Jul 17 2022,16:00,-0300,Grêmio Anápolis GO,4-1,1-1,Ação MT,,,2022-07-17T19:00Z
Sechzehntelfinale,Sat Jul 23 2022,15:00,-0300,Portuguesa RJ,0-1,0-1,Aimoré RS,,,2022-07-23T18:00Z
Sechzehntelfinale,Sat Jul 23 2022,15:00,-0300,Real Noroeste ES,5-2,2-0,Anápolis FC GO,,,2022-07-23T18:00Z
Sechzehntelfinale,Sat Jul 23 2022,15:30,-0300,Cascavel FC PR,0-0,0-0,Paraná Clube,,,2022-07-23T18:30Z
Sechzehntelfinale,Sat Jul 23 2022,15:30,-0300,Juventude MA,0-0,0-0,Amazonas FC AM,,,2022-07-23T18:30Z
Sechzehntelfinale,Sat Jul 23 2022,15:45,-0300,Afogados da Ingazeira PE,1-2,1-2,ASA AL,,,2022-07-23T18:45Z
Sechzehntelfinale,Sat Jul 23 2022,16:00,-0300,São Raimundo AM,2-2,1-1,Tocantinópolis TO,,,2022-07-23T19:00Z
Sechzehntelfinale,Sat Jul 23 2022,17:00,-0300,São Raimundo RR,0-0,0-0,Moto Club MA,,,2022-07-23T20:00Z
Sechzehntelfinale,Sat Jul 23 2022,19:00,-0300,Azuriz PR,1-1,1-0,São Bernardo FC SP,,,2022-07-23T22:00Z
Sechzehntelfinale,Sun Jul 24 2022,12:00,-0300,Operário MT,0-0,0-0,Pouso Alegre MG,,,2022-07-24T15:00Z
Sechzehntelfinale,Sun Jul 24 2022,15:00,-0300,Nova Venécia ES,3-1,2-1,Brasiliense DF,,,2022-07-24T18:00Z
Sechzehntelfinale,Sun Jul 24 2022,16:00,-0300,Santa Cruz PE,0-0,0-0,Retrô PE,,,2022-07-24T19:00Z
Sechzehntelfinale,Sun Jul 24 2022,16:00,-0300,Pacajus CE,1-1,1-0,Rio Branco AC,,,2022-07-24T19:00Z
Sechzehntelfinale,Sun Jul 24 2022,16:00,-0300,Oeste SP,1-1,1-0,S.E.R. Caxias RS,,,2022-07-24T19:00Z
Sechzehntelfinale,Sun Jul 24 2022,16:00,-0300,Sousa PB,0-1,0-0,Lagarto SE,,,2022-07-24T19:00Z
Sechzehntelfinale,Sun Jul 24 2022,16:00,-0300,Jacuipense BA,0-1,0-1,América RN,,,2022-07-24T19:00Z
Sechzehntelfinale,Sun Jul 24 2022,16:30,-0300,Costa Rica MS,0-0,0-0,Bahia de Feira BA,,,2022-07-24T19:30Z
Sechzehntelfinale,Sat Jul 30 2022,15:00,-0300,S.E.R. Caxias RS,0-0,0-0,Oeste SP,0-0,6-5,2022-07-30T18:00Z
Sechzehntelfinale,Sat Jul 30 2022,16:00,-0300,Paraná Clube,0-0,0-0,Cascavel FC PR,0-0,5-4,2022-07-30T19:00Z
Sechzehntelfinale,Sat Jul 30 2022,16:00,-0300,Tocantinópolis TO,4-1,1-0,São Raimundo AM,,,2022-07-30T19:00Z
Sechzehntelfinale,Sat Jul 30 2022,16:00,-0300,Bahia de Feira BA,2-1,2-0,Costa Rica MS,,,2022-07-30T19:00Z
Sechzehntelfinale,Sat Jul 30 2022,16:00,-0300,São Bernardo FC SP,2-0,1-0,Azuriz PR,,,2022-07-30T19:00Z
Sechzehntelfinale,Sat Jul 30 2022,17:00,-0300,Pouso Alegre MG,2-0,2-0,Operário MT,,,2022-07-30T20:00Z
Sechzehntelfinale,Sat Jul 30 2022,15:00,-0300,Aimoré RS,0-0,0-0,Portuguesa RJ,0-0,3-4,2022-07-30T18:00Z
Sechzehntelfinale,Sun Jul 31 2022,15:00,-0300,Lagarto SE,2-1,1-1,Sousa PB,,,2022-07-31T18:00Z
Sechzehntelfinale,Sun Jul 31 2022,15:30,-0300,Brasiliense DF,1-1,0-0,Nova Venécia ES,,,2022-07-31T18:30Z
Sechzehntelfinale,Sun Jul 31 2022,16:00,-0300,ASA AL,2-0,0-0,Afogados da Ingazeira PE,,,2022-07-31T19:00Z
Sechzehntelfinale,Sun Jul 31 2022,16:00,-0300,Anápolis FC GO,3-0,1-0,Real Noroeste ES,3-0,1-3,2022-07-31T19:00Z
Sechzehntelfinale,Sun Jul 31 2022,16:00,-0300,Amazonas FC AM,2-1,1-1,Juventude MA,,,2022-07-31T19:00Z
Sechzehntelfinale,Sun Jul 31 2022,16:00,-0300,América RN,0-0,0-0,Jacuipense BA,,,2022-07-31T19:00Z
Sechzehntelfinale,Sun Jul 31 2022,17:00,-0300,Moto Club MA,1-1,1-1,São Raimundo RR,1-1,8-7,2022-07-31T20:00Z
Sechzehntelfinale,Sun Jul 31 2022,19:00,-0300,Rio Branco AC,0-0,0-0,Pacajus CE,0-0,5-4,2022-07-31T22:00Z
Sechzehntelfinale,Mon Aug 1 2022,20:00,-0300,Retrô PE,1-2,1-2,Santa Cruz PE,,,2022-08-01T23:00Z
Round of 16,Sat Aug 6 2022,16:00,-0300,Bahia de Feira BA,0-1,0-1,São Bernardo FC SP,,,2022-08-06T19:00Z
Round of 16,Sat Aug 6 2022,15:00,-0300,Portuguesa RJ,2-1,1-1,Nova Venécia ES,,,2022-08-06T18:00Z
Round of 16,Sun Aug 7 2022,15:00,-0300,Lagarto SE,1-1,0-1,Amazonas FC AM,,,2022-08-07T18:00Z
Round of 16,Sun Aug 7 2022,15:00,-0300,Real Noroeste ES,1-1,0-1,S.E.R. Caxias RS,,,2022-08-07T18:00Z
Round of 16,Sun Aug 7 2022,16:00,-0300,Santa Cruz PE,0-0,0-0,Tocantinópolis TO,,,2022-08-07T19:00Z
Round of 16,Sun Aug 7 2022,16:00,-0300,América RN,2-1,1-0,Moto Club MA,,,2022-08-07T19:00Z
Round of 16,Sun Aug 7 2022,16:00,-0300,Paraná Clube,1-1,1-0,Pouso Alegre MG,,,2022-08-07T19:00Z
Round of 16,Sun Aug 7 2022,19:00,-0300,Rio Branco AC,0-0,0-0,ASA AL,,,2022-08-07T22:00Z
Round of 16,Sat Aug 13 2022,16:00,-0300,São Bernardo FC SP,1-1,0-0,Bahia de Feira BA,,,2022-08-13T19:00Z
Round of 16,Sat Aug 13 2022,17:00,-0300,Pouso Alegre MG,1-0,1-0,Paraná Clube,,,2022-08-13T20:00Z
Round of 16,Sat Aug 13 2022,19:00,-0300,Moto Club MA,0-1,0-1,América RN,,,2022-08-13T22:00Z
Round of 16,Sat Aug 13 2022,15:00,-0300,S.E.R. Caxias RS,0-0,0-0,Real Noroeste ES,0-0,3-0,2022-08-13T18:00Z
Round of 16,Sun Aug 14 2022,15:00,-0300,Nova Venécia ES,2-2,1-1,Portuguesa RJ,,,2022-08-14T18:00Z
Round of 16,Sun Aug 14 2022,16:00,-0300,Amazonas FC AM,2-1,1-1,Lagarto SE,,,2022-08-14T19:00Z
Round of 16,Sun Aug 14 2022,16:00,-0300,Tocantinópolis TO,1-0,0-0,Santa Cruz PE,,,2022-08-14T19:00Z
Round of 16,Sun Aug 14 2022,16:00,-0300,ASA AL,0-0,0-0,Rio Branco AC,0-0,5-4,2022-08-14T19:00Z
Quarterfinals,Sat Aug 20 2022,15:00,-0300,S.E.R. Caxias RS,1-0,1-0,América RN,,,2022-08-20T18:00Z
Quarterfinals,Sat Aug 20 2022,15:00,-0300,Portuguesa RJ,1-1,0-1,Amazonas FC AM,,,2022-08-20T18:00Z
Quarterfinals,Sun Aug 21 2022,16:00,-0300,ASA AL,0-2,0-0,Pouso Alegre MG,,,2022-08-21T19:00Z
Quarterfinals,Sun Aug 21 2022,15:30,-0300,Tocantinópolis TO,0-3,0-1,São Bernardo FC SP,,,2022-08-21T18:30Z
Quarterfinals,Sat Aug 27 2022,17:00,-0300,Pouso Alegre MG,1-0,1-0,ASA AL,,,2022-08-27T20:00Z
Quarterfinals,Sat Aug 27 2022,16:00,-0300,São Bernardo FC SP,2-0,1-0,Tocantinópolis TO,,,2022-08-27T19:00Z
Quarterfinals,Sun Aug 28 2022,16:00,-0300,Amazonas FC AM,3-2,3-0,Portuguesa RJ,,,2022-08-28T19:00Z
Quarterfinals,Sun Aug 28 2022,16:00,-0300,América RN,3-1,0-0,S.E.R. Caxias RS,,,2022-08-28T19:00Z
Semifinals,Sat Sep 3 2022,17:00,-0300,Pouso Alegre MG,1-0,1-0,Amazonas FC AM,,,2022-09-03T20:00Z
Semifinals,Sun Sep 4 2022,18:00,-0300,América RN,2-0,0-0,São Bernardo FC SP,,,2022-09-04T21:00Z
Semifinals,Sat Sep 10 2022,16:00,-0300,São Bernardo FC SP,0-1,0-1,América RN,,,2022-09-10T19:00Z
Semifinals,Sun Sep 11 2022,18:00,-0300,Amazonas FC AM,0-1,0-1,Pouso Alegre MG,,,2022-09-11T21:00Z
Final,Sun Sep 18 2022,16:00,-0300,América RN,2-0,1-0,Pouso Alegre MG,,,2022-09-18T19:00Z
Final,Sun Sep 25 2022,16:00,-0300,Pouso Alegre MG,1-0,0-0,América RN,,,2022-09-25T19:00Z
