Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe A,Sat Jul 20 2024,17:00,-0300,Rio Branco AC,1-2,1-0,Manauara AM,,,2024-07-20T20:00Z
Gruppe A,Sat Jul 20 2024,17:00,-0300,Porto Velho EC RO,3-0,2-0,Humaitá AC,,,2024-07-20T20:00Z
Gruppe G,Sat Jul 20 2024,16:00,-0300,Água Santa SP,1-0,0-0,Atlético Patrocinense MG,,,2024-07-20T19:00Z
Gruppe G,Sat Jul 20 2024,16:00,-0300,Pouso Alegre MG,0-0,0-0,Inter de Limeira SP,,,2024-07-20T19:00Z
Gruppe G,Sat Jul 20 2024,16:00,-0300,Santo André SP,0-1,0-0,Maringá PR,,,2024-07-20T19:00Z
Gruppe G,Sat Jul 20 2024,16:00,-0300,Costa Rica MS,0-0,0-0,São José SP,,,2024-07-20T19:00Z
Gruppe E,Sat Jul 20 2024,16:30,-0300,União Rondonópolis MT,3-0,2-0,Iporá GO,,,2024-07-20T19:30Z
Gruppe A,Sat Jul 20 2024,17:00,-0300,São Raimundo RR,1-2,0-1,Princesa do Solimões AM,,,2024-07-20T20:00Z
Gruppe A,Sat Jul 20 2024,17:00,-0300,Manaus AM,3-1,1-0,Trem AP,,,2024-07-20T20:00Z
Gruppe E,Sat Jul 20 2024,16:30,-0300,CRAC GO,0-0,0-0,Mixto MT,,,2024-07-20T19:30Z
Gruppe E,Sat Jul 20 2024,16:30,-0300,Real Brasilia DF,1-0,0-0,Capital TO,,,2024-07-20T19:30Z
Gruppe E,Sat Jul 20 2024,16:30,-0300,Anápolis FC GO,0-2,0-2,Brasiliense DF,,,2024-07-20T19:30Z
Gruppe F,Sat Jul 20 2024,15:00,-0300,Audax RJ,1-1,1-1,Serra ES,,,2024-07-20T18:00Z
Gruppe F,Sat Jul 20 2024,15:00,-0300,Real Noroeste ES,3-2,2-0,Itabuna BA,,,2024-07-20T18:00Z
Gruppe F,Sat Jul 20 2024,15:00,-0300,Nova Iguaçu RJ,3-0,1-0,Democrata de Sete Lagoas MG,,,2024-07-20T18:00Z
Gruppe F,Sat Jul 20 2024,15:00,-0300,Ipatinga MG,0-2,0-0,Portuguesa RJ,,,2024-07-20T18:00Z
Gruppe C,Sun Jul 21 2024,16:00,-0300,Treze PB,2-0,1-0,Santa Cruz de Natal RN,,,2024-07-21T19:00Z
Gruppe C,Sun Jul 21 2024,16:00,-0300,América RN,2-1,0-1,Maracanã CE,,,2024-07-21T19:00Z
Gruppe C,Sun Jul 21 2024,16:00,-0300,Iguatu CE,1-0,1-0,Sousa PB,,,2024-07-21T19:00Z
Gruppe C,Sun Jul 21 2024,16:00,-0300,Potiguar de Mossoró RN,1-1,0-0,Atlético Cearense CE,,,2024-07-21T19:00Z
Gruppe B,Sun Jul 21 2024,16:00,-0300,Altos PI,2-1,0-0,Cametá PA,,,2024-07-21T19:00Z
Gruppe B,Sun Jul 21 2024,16:00,-0300,Águia de Marabá PA,0-0,0-0,River PI,,,2024-07-21T19:00Z
Gruppe B,Sun Jul 21 2024,16:00,-0300,Maranhão MA,3-0,2-0,Fluminense PI,,,2024-07-21T19:00Z
Gruppe D,Sun Jul 21 2024,16:00,-0300,Itabaiana SE,1-2,1-1,Juazeirense BA,,,2024-07-21T19:00Z
Gruppe D,Sun Jul 21 2024,16:00,-0300,ASA AL,2-0,1-0,Sergipe SE,,,2024-07-21T19:00Z
Gruppe D,Sun Jul 21 2024,16:00,-0300,Retrô PE,2-1,2-1,CSE AL,,,2024-07-21T19:00Z
Gruppe D,Sun Jul 21 2024,16:00,-0300,Jacuipense BA,3-0,1-0,Petrolina PE,,,2024-07-21T19:00Z
Gruppe B,Sun Jul 21 2024,16:00,-0300,Tocantinópolis TO,1-0,0-0,Moto Club MA,,,2024-07-21T19:00Z
Gruppe H,Sun Jul 21 2024,16:00,-0300,Cascavel FC PR,3-0,0-0,Avenida RS,,,2024-07-21T19:00Z
Gruppe H,Sun Jul 21 2024,16:00,-0300,Novo Hamburgo RS,1-0,0-0,Barra SC,,,2024-07-21T19:00Z
Gruppe H,Sun Jul 21 2024,16:00,-0300,Hercílio Luz SC,1-0,0-0,Cianorte PR,,,2024-07-21T19:00Z
Gruppe H,Sun Jul 21 2024,16:00,-0300,Brasil de Pelotas RS,2-1,1-0,Concórdia SC,,,2024-07-21T19:00Z
Sechzehntelfinale,Sat Jul 27 2024,15:00,-0300,Jacuipense BA,0-0,0-0,Iguatu CE,,,2024-07-27T18:00Z
Sechzehntelfinale,Sat Jul 27 2024,16:00,-0300,Tocantinópolis TO,0-0,0-0,Manauara AM,,,2024-07-27T19:00Z
Sechzehntelfinale,Sat Jul 27 2024,16:00,-0300,Real Noroeste ES,0-2,0-1,Brasiliense DF,,,2024-07-27T19:00Z
Sechzehntelfinale,Sat Jul 27 2024,16:00,-0300,Novo Hamburgo RS,2-4,1-1,Maringá PR,,,2024-07-27T19:00Z
Sechzehntelfinale,Sat Jul 27 2024,17:00,-0300,Princesa do Solimões AM,1-1,1-0,Altos PI,,,2024-07-27T20:00Z
Sechzehntelfinale,Sat Jul 27 2024,18:00,-0300,América RN,1-1,0-0,Retrô PE,,,2024-07-27T21:00Z
Sechzehntelfinale,Sat Jul 27 2024,18:00,-0300,Manaus AM,1-1,0-0,Maranhão MA,,,2024-07-27T21:00Z
Sechzehntelfinale,Sat Jul 27 2024,18:00,-0300,Água Santa SP,1-2,0-0,Brasil de Pelotas RS,,,2024-07-27T21:00Z
Sechzehntelfinale,Sat Jul 27 2024,18:00,-0300,Mixto MT,0-0,0-0,Portuguesa RJ,,,2024-07-27T21:00Z
Sechzehntelfinale,Sat Jul 27 2024,18:30,-0300,Avenida RS,0-0,0-0,Inter de Limeira SP,,,2024-07-27T21:30Z
Sechzehntelfinale,Sun Jul 28 2024,16:00,-0300,ASA AL,1-1,0-0,Treze PB,,,2024-07-28T19:00Z
Sechzehntelfinale,Sun Jul 28 2024,16:00,-0300,Atlético Cearense CE,1-0,0-0,Itabaiana SE,,,2024-07-28T19:00Z
Sechzehntelfinale,Sun Jul 28 2024,16:00,-0300,Costa Rica MS,1-3,0-0,Cianorte PR,,,2024-07-28T19:00Z
Sechzehntelfinale,Sun Jul 28 2024,17:00,-0300,River PI,2-2,1-1,Porto Velho EC RO,,,2024-07-28T20:00Z
Sechzehntelfinale,Sun Jul 28 2024,17:00,-0300,CRAC GO,0-1,0-0,Nova Iguaçu RJ,,,2024-07-28T20:00Z
Sechzehntelfinale,Sun Jul 28 2024,18:00,-0300,Itabuna BA,1-0,0-0,Anápolis FC GO,,,2024-07-28T21:00Z
Sechzehntelfinale,Sat Aug 3 2024,16:00,-0300,Manauara AM,5-2,2-0,Tocantinópolis TO,,,2024-08-03T19:00Z
Sechzehntelfinale,Sat Aug 3 2024,16:00,-0300,Iguatu CE,2-1,0-1,Jacuipense BA,,,2024-08-03T19:00Z
Sechzehntelfinale,Sat Aug 3 2024,16:00,-0300,Inter de Limeira SP,1-1,1-1,Avenida RS,,8-7,2024-08-03T19:00Z
Sechzehntelfinale,Sat Aug 3 2024,16:30,-0300,Porto Velho EC RO,5-4,5-4,River PI,,0-0,2024-08-03T19:30Z
Sechzehntelfinale,Sat Aug 3 2024,17:00,-0300,Portuguesa RJ,2-0,0-0,Mixto MT,,,2024-08-03T20:00Z
Sechzehntelfinale,Sat Aug 3 2024,15:00,-0300,Nova Iguaçu RJ,2-2,1-1,CRAC GO,,,2024-08-03T18:00Z
Sechzehntelfinale,Sun Aug 4 2024,15:30,-0300,Brasiliense DF,2-2,1-2,Real Noroeste ES,,,2024-08-04T18:30Z
Sechzehntelfinale,Sun Aug 4 2024,16:00,-0300,Retrô PE,7-6,7-6,América RN,,0-0,2024-08-04T19:00Z
Sechzehntelfinale,Sun Aug 4 2024,16:00,-0300,Altos PI,5-4,5-4,Princesa do Solimões AM,,0-0,2024-08-04T19:00Z
Sechzehntelfinale,Sun Aug 4 2024,16:00,-0300,Treze PB,3-0,1-0,ASA AL,,,2024-08-04T19:00Z
Sechzehntelfinale,Sun Aug 4 2024,16:00,-0300,Maranhão MA,5-6,5-6,Manaus AM,,0-0,2024-08-04T19:00Z
Sechzehntelfinale,Sun Aug 4 2024,16:00,-0300,Itabaiana SE,3-0,2-0,Atlético Cearense CE,,,2024-08-04T19:00Z
Sechzehntelfinale,Sun Aug 4 2024,16:00,-0300,Brasil de Pelotas RS,3-0,1-0,Água Santa SP,,,2024-08-04T19:00Z
Sechzehntelfinale,Sun Aug 4 2024,16:00,-0300,Anápolis FC GO,3-0,0-0,Itabuna BA,,,2024-08-04T19:00Z
Sechzehntelfinale,Sun Aug 4 2024,16:00,-0300,Cianorte PR,2-1,0-0,Costa Rica MS,,,2024-08-04T19:00Z
Sechzehntelfinale,Sun Aug 4 2024,18:30,-0300,Maringá PR,1-0,0-0,Novo Hamburgo RS,,,2024-08-04T21:30Z
Round of 16,Sat Aug 10 2024,16:00,-0300,Inter de Limeira SP,0-0,0-0,Nova Iguaçu RJ,,,2024-08-10T19:00Z
Round of 16,Sat Aug 10 2024,17:00,-0300,Portuguesa RJ,1-3,0-3,Maringá PR,,,2024-08-10T20:00Z
Round of 16,Sat Aug 10 2024,18:00,-0300,Manaus AM,2-2,2-0,Iguatu CE,,,2024-08-10T21:00Z
Round of 16,Sat Aug 10 2024,16:00,-0300,Altos PI,0-1,0-1,Treze PB,,,2024-08-10T19:00Z
Round of 16,Sun Aug 11 2024,16:00,-0300,Retrô PE,2-0,1-0,Manauara AM,,,2024-08-11T19:00Z
Round of 16,Sun Aug 11 2024,16:00,-0300,Itabaiana SE,2-2,0-2,Porto Velho EC RO,,,2024-08-11T19:00Z
Round of 16,Sun Aug 11 2024,16:00,-0300,Brasil de Pelotas RS,1-4,0-2,Brasiliense DF,,,2024-08-11T19:00Z
Round of 16,Sun Aug 11 2024,16:00,-0300,Cianorte PR,1-2,1-1,Anápolis FC GO,,,2024-08-11T19:00Z
Round of 16,Sat Aug 17 2024,16:00,-0300,Manauara AM,2-0,0-0,Retrô PE,,1-4,2024-08-17T19:00Z
Round of 16,Sat Aug 17 2024,16:30,-0300,Porto Velho EC RO,2-4,2-4,Itabaiana SE,,2-4,2024-08-17T19:30Z
Round of 16,Sat Aug 17 2024,18:00,-0300,Iguatu CE,2-1,2-0,Manaus AM,,,2024-08-17T21:00Z
Round of 16,Sat Aug 17 2024,15:00,-0300,Nova Iguaçu RJ,0-1,0-1,Inter de Limeira SP,,,2024-08-17T18:00Z
Round of 16,Sun Aug 18 2024,15:30,-0300,Brasiliense DF,5-0,2-0,Brasil de Pelotas RS,,,2024-08-18T18:30Z
Round of 16,Sun Aug 18 2024,16:00,-0300,Treze PB,5-3,5-3,Altos PI,,5-3,2024-08-18T19:00Z
Round of 16,Sun Aug 18 2024,16:00,-0300,Anápolis FC GO,1-1,0-0,Cianorte PR,,,2024-08-18T19:00Z
Round of 16,Sun Aug 18 2024,18:30,-0300,Maringá PR,3-1,2-1,Portuguesa RJ,,,2024-08-18T21:30Z
Quarterfinals,Sat Aug 24 2024,16:00,-0300,Inter de Limeira SP,0-1,0-1,Maringá PR,,,2024-08-24T19:00Z
Quarterfinals,Sun Aug 25 2024,16:00,-0300,Itabaiana SE,3-1,3-1,Treze PB,,,2024-08-25T19:00Z
Quarterfinals,Sun Aug 25 2024,17:00,-0300,Retrô PE,1-0,1-0,Brasiliense DF,,,2024-08-25T20:00Z
Quarterfinals,Sun Aug 25 2024,16:00,-0300,Anápolis FC GO,1-1,0-0,Iguatu CE,,,2024-08-25T19:00Z
Quarterfinals,Sat Aug 31 2024,16:00,-0300,Iguatu CE,3-3,2-2,Anápolis FC GO,,4-5,2024-08-31T19:00Z
Quarterfinals,Sun Sep 1 2024,15:30,-0300,Brasiliense DF,1-0,1-0,Retrô PE,2-3,2-3,2024-09-01T18:30Z
Quarterfinals,Sun Sep 1 2024,16:00,-0300,Treze PB,0-0,0-0,Itabaiana SE,,,2024-09-01T19:00Z
Quarterfinals,Sun Sep 1 2024,18:30,-0300,Maringá PR,1-1,1-0,Inter de Limeira SP,,,2024-09-01T21:30Z
Semifinals,Sun Sep 8 2024,18:30,-0300,Retrô PE,0-1,0-1,Itabaiana SE,,,2024-09-08T21:30Z
Semifinals,Sun Sep 8 2024,16:00,-0300,Anápolis FC GO,1-1,0-1,Maringá PR,,,2024-09-08T19:00Z
Semifinals,Sun Sep 15 2024,18:30,-0300,Maringá PR,0-0,0-0,Anápolis FC GO,,4-5,2024-09-15T21:30Z
Semifinals,Sun Sep 15 2024,16:00,-0300,Itabaiana SE,0-1,0-0,Retrô PE,,3-4,2024-09-15T19:00Z
