Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Apertura,15,Sun Apr 7 2024,20:20,-05/-0500,La Equidad,4-0,3-0,Boyacá Chicó,,,2024-04-08T01:20Z
Apertura,15,Sun Apr 7 2024,16:00,-05/-0500,Patriotas FC,0-0,0-0,Alianza FC,,,2024-04-07T21:00Z
Apertura,16,Fri Apr 12 2024,18:05,-05/-0500,Deportes Tolima,2-1,2-1,Águilas Doradas,,,2024-04-12T23:05Z
Apertura,16,Fri Apr 12 2024,20:15,-05/-0500,Deportivo Cali,1-1,0-1,América de Cali,,,2024-04-13T01:15Z
Apertura,16,Sat Apr 13 2024,16:10,-05/-0500,Santa Fe,0-0,0-0,Atlético Nacional,,,2024-04-13T21:10Z
Apertura,16,Sat Apr 13 2024,18:20,-05/-0500,Atlético Junior,1-1,0-0,Envigado FC,,,2024-04-13T23:20Z
Apertura,16,Sat Apr 13 2024,20:30,-05/-0500,Deportivo Pereira,0-0,0-0,Jaguares de Córdoba,,,2024-04-14T01:30Z
Apertura,16,Sat Apr 13 2024,14:00,-05/-0500,Fortaleza FC,2-0,0-0,Once Caldas,,,2024-04-13T19:00Z
Apertura,16,Sun Apr 14 2024,14:00,-05/-0500,Boyacá Chicó,1-2,1-1,Patriotas FC,,,2024-04-14T19:00Z
Apertura,16,Sun Apr 14 2024,16:10,-05/-0500,Independiente Medellín,1-0,0-0,Atlético Bucaramanga,,,2024-04-14T21:10Z
Apertura,16,Sun Apr 14 2024,18:20,-05/-0500,Deportivo Pasto,2-3,0-1,Millonarios,,,2024-04-14T23:20Z
Apertura,16,Sun Apr 14 2024,20:30,-05/-0500,Alianza FC,0-3,0-0,La Equidad,,,2024-04-15T01:30Z
Apertura,17,Tue Apr 16 2024,18:10,-05/-0500,Jaguares de Córdoba,1-1,0-1,Deportivo Cali,,,2024-04-16T23:10Z
Apertura,17,Tue Apr 16 2024,20:20,-05/-0500,Once Caldas,0-1,0-1,Santa Fe,,,2024-04-17T01:20Z
Apertura,17,Tue Apr 16 2024,16:00,-05/-0500,Envigado FC,0-2,0-2,Deportes Tolima,,,2024-04-16T21:00Z
Apertura,17,Wed Apr 17 2024,16:00,-05/-0500,Águilas Doradas,4-0,0-0,Alianza FC,,,2024-04-17T21:00Z
Apertura,17,Wed Apr 17 2024,18:10,-05/-0500,Millonarios,3-2,1-0,Atlético Junior,,,2024-04-17T23:10Z
Apertura,17,Wed Apr 17 2024,20:20,-05/-0500,Atlético Nacional,0-1,0-1,Deportivo Pereira,,,2024-04-18T01:20Z
Apertura,17,Thu Apr 18 2024,18:10,-05/-0500,Patriotas FC,2-3,2-0,Independiente Medellín,,,2024-04-18T23:10Z
Apertura,17,Thu Apr 18 2024,20:20,-05/-0500,América de Cali,0-0,0-0,Deportivo Pasto,,,2024-04-19T01:20Z
Apertura,17,Thu Apr 18 2024,16:00,-05/-0500,La Equidad,0-0,0-0,Fortaleza FC,,,2024-04-18T21:00Z
Apertura,17,Fri Apr 19 2024,20:10,-05/-0500,Atlético Bucaramanga,2-3,1-1,Boyacá Chicó,,,2024-04-20T01:10Z
Apertura,18,Sat Apr 20 2024,18:10,-05/-0500,Atlético Junior,1-0,1-0,Once Caldas,,,2024-04-20T23:10Z
Apertura,18,Sat Apr 20 2024,20:30,-05/-0500,Alianza FC,2-1,0-1,Jaguares de Córdoba,,,2024-04-21T01:30Z
Apertura,18,Sat Apr 20 2024,16:00,-05/-0500,Deportivo Pereira,1-2,0-1,Millonarios,,,2024-04-20T21:00Z
Apertura,18,Sun Apr 21 2024,14:00,-05/-0500,Santa Fe,1-0,0-0,América de Cali,,,2024-04-21T19:00Z
Apertura,18,Sun Apr 21 2024,16:10,-05/-0500,Deportivo Cali,2-0,1-0,Envigado FC,,,2024-04-21T21:10Z
Apertura,18,Sun Apr 21 2024,18:20,-05/-0500,Independiente Medellín,2-2,1-2,Atlético Nacional,,,2024-04-21T23:20Z
Apertura,18,Sun Apr 21 2024,20:30,-05/-0500,Deportes Tolima,2-1,0-0,Patriotas FC,,,2024-04-22T01:30Z
Apertura,18,Mon Apr 22 2024,18:10,-05/-0500,Boyacá Chicó,1-2,1-1,Águilas Doradas,,,2024-04-22T23:10Z
Apertura,18,Mon Apr 22 2024,20:20,-05/-0500,Deportivo Pasto,2-3,2-0,La Equidad,,,2024-04-23T01:20Z
Apertura,18,Mon Apr 22 2024,16:00,-05/-0500,Fortaleza FC,0-2,0-1,Atlético Bucaramanga,,,2024-04-22T21:00Z
Apertura,19,Sat Apr 27 2024,19:00,-05/-0500,Atlético Nacional,3-1,1-0,Deportes Tolima,,,2024-04-28T00:00Z
Apertura,19,Sun Apr 28 2024,15:00,-05/-0500,Patriotas FC,0-3,0-2,Deportivo Pasto,,,2024-04-28T20:00Z
Apertura,19,Sun Apr 28 2024,17:00,-05/-0500,Deportivo Cali,0-0,0-0,Atlético Junior,,,2024-04-28T22:00Z
Apertura,19,Sun Apr 28 2024,17:00,-05/-0500,Once Caldas,0-0,0-0,América de Cali,,,2024-04-28T22:00Z
Apertura,19,Sun Apr 28 2024,17:00,-05/-0500,Atlético Bucaramanga,1-0,1-0,Alianza FC,,,2024-04-28T22:00Z
Apertura,19,Sun Apr 28 2024,17:00,-05/-0500,Jaguares de Córdoba,1-0,1-0,Santa Fe,,,2024-04-28T22:00Z
Apertura,19,Sun Apr 28 2024,17:00,-05/-0500,Águilas Doradas,1-1,1-0,Fortaleza FC,,,2024-04-28T22:00Z
Apertura,19,Sun Apr 28 2024,17:00,-05/-0500,Millonarios,3-0,1-0,Boyacá Chicó,,,2024-04-28T22:00Z
Apertura,19,Sun Apr 28 2024,17:00,-05/-0500,La Equidad,0-2,0-1,Deportivo Pereira,,,2024-04-28T22:00Z
