Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,Comments,UTC
,19,Sat Jan 23 2021,14:00,CET/+0100,Cosenza Calcio,0-0,0-0,Pordenone Calcio,,,2021-01-23T13:00Z
,19,Sat Jan 23 2021,14:00,CET/+0100,Venezia FC,1-0,1-0,AS Cittadella,,,2021-01-23T13:00Z
,19,Sat Jan 23 2021,14:00,CET/+0100,AC Reggiana 1919,2-1,1-0,L.R. Vicenza Virtus,,,2021-01-23T13:00Z
,19,Sun Jan 24 2021,21:00,CET/+0100,US Cremonese,1-1,0-0,SPAL 2013 Ferrara,,,2021-01-24T20:00Z
,19,Sun Jan 24 2021,15:00,CET/+0100,US Lecce,2-2,0-1,Empoli FC,,,2021-01-24T14:00Z
,19,Mon Jan 25 2021,21:00,CET/+0100,Brescia Calcio,0-1,0-0,AC Monza,,,2021-01-25T20:00Z
,15,Wed Jan 27 2021,19:00,CET/+0100,Chievo Verona,2-1,1-0,AS Cittadella,,,2021-01-27T18:00Z
,20,Fri Jan 29 2021,21:00,CET/+0100,L.R. Vicenza Virtus,0-0,0-0,Venezia FC,,,2021-01-29T20:00Z
,20,Sat Jan 30 2021,16:00,CET/+0100,AC Pisa,1-0,1-0,AC Reggiana 1919,,,2021-01-30T15:00Z
,20,Sat Jan 30 2021,14:00,CET/+0100,Ascoli Calcio,2-1,0-1,Brescia Calcio,,,2021-01-30T13:00Z
,20,Sat Jan 30 2021,14:00,CET/+0100,Empoli FC,3-1,2-1,Frosinone Calcio,,,2021-01-30T13:00Z
,20,Sat Jan 30 2021,14:00,CET/+0100,Pordenone Calcio,1-1,1-1,US Lecce,,,2021-01-30T13:00Z
,20,Sat Jan 30 2021,14:00,CET/+0100,Virtus Entella,1-2,1-0,Cosenza Calcio,,,2021-01-30T13:00Z
,20,Sun Jan 31 2021,15:00,CET/+0100,Chievo Verona,3-1,1-1,Delfino Pescara,,,2021-01-31T14:00Z
,20,Sun Jan 31 2021,16:00,CET/+0100,SPAL 2013 Ferrara,1-1,1-1,AC Monza,,,2021-01-31T15:00Z
,20,Sun Jan 31 2021,21:00,CET/+0100,AS Cittadella,1-1,0-1,US Cremonese,,,2021-01-31T20:00Z
,20,Mon Feb 1 2021,21:00,CET/+0100,Reggina 1914,0-0,0-0,US Salernitana 1919,,,2021-02-01T20:00Z
,16,Tue Feb 2 2021,14:00,CET/+0100,AC Pisa,0-0,0-0,Frosinone Calcio,,,2021-02-02T13:00Z
