Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Round 3,Wed Jul 20 2016,19:30,-0300,Ceará CE,0-0,0-0,Botafogo PB,,,2016-07-20T22:30Z
Round 3,Wed Jul 20 2016,21:45,-0300,Cruzeiro,2-1,1-0,Vitória BA,,,2016-07-21T00:45Z
Round 3,Wed Jul 20 2016,19:30,-0300,Juventude RS,0-0,0-0,Paysandu PA,,,2016-07-20T22:30Z
Round 3,Thu Jul 21 2016,21:00,-0300,Athletico Paranaense,0-0,0-0,Chapecoense,,,2016-07-22T00:00Z
Round 3,Wed Jul 27 2016,19:30,-0300,Botafogo RJ,1-0,0-0,CA Bragantino,,,2016-07-27T22:30Z
Round 3,Wed Jul 27 2016,19:30,-0300,Chapecoense,1-1,1-0,Athletico Paranaense,,,2016-07-27T22:30Z
Round 3,Wed Jul 27 2016,19:30,-0300,Paysandu PA,1-2,0-1,Juventude RS,,,2016-07-27T22:30Z
Round 3,Wed Jul 27 2016,19:30,-0300,Ponte Preta,5-0,2-0,Figueirense SC,,,2016-07-27T22:30Z
Round 3,Wed Jul 27 2016,21:45,-0300,Ypiranga RS,0-2,0-0,Fluminense RJ,,,2016-07-28T00:45Z
Round 3,Wed Jul 27 2016,21:45,-0300,Santos FC,3-0,2-0,Gama DF,,,2016-07-28T00:45Z
Round 3,Thu Jul 28 2016,21:00,-0300,Fortaleza CE,4-1,3-0,América MG,,,2016-07-29T00:00Z
Round of 16,Wed Aug 24 2016,19:30,-0300,Athletico Paranaense,0-1,0-1,Grêmio Porto Alegre,,,2016-08-24T22:30Z
Round of 16,Wed Aug 24 2016,21:45,-0300,São Paulo FC,1-2,1-1,Juventude RS,,,2016-08-25T00:45Z
Round of 16,Wed Aug 24 2016,21:45,-0300,Atlético Mineiro,1-1,0-1,Ponte Preta,,,2016-08-25T00:45Z
Round of 16,Wed Aug 24 2016,19:30,-0300,Santos FC,3-1,2-0,Vasco da Gama RJ,,,2016-08-24T22:30Z
Round of 16,Wed Aug 31 2016,19:30,-0300,Palmeiras,3-0,0-0,Botafogo PB,,,2016-08-31T22:30Z
Round of 16,Wed Aug 31 2016,21:45,-0300,Fluminense RJ,1-1,1-0,Corinthians SP,,,2016-09-01T00:45Z
Round of 16,Wed Aug 31 2016,21:45,-0300,Internacional,3-0,2-0,Fortaleza CE,,,2016-09-01T00:45Z
Round of 16,Thu Sep 1 2016,20:00,-0300,Botafogo RJ,2-5,1-1,Cruzeiro,,,2016-09-01T23:00Z
Round of 16,Wed Sep 21 2016,19:30,-0300,Grêmio Porto Alegre,0-1,0-1,Athletico Paranaense,4-3,,2016-09-21T22:30Z
Round of 16,Wed Sep 21 2016,19:30,-0300,Ponte Preta,2-2,1-0,Atlético Mineiro,,,2016-09-21T22:30Z
Round of 16,Wed Sep 21 2016,21:45,-0300,Corinthians SP,1-0,0-0,Fluminense RJ,,,2016-09-22T00:45Z
Round of 16,Wed Sep 21 2016,21:45,-0300,Vasco da Gama RJ,2-2,1-1,Santos FC,,,2016-09-22T00:45Z
Round of 16,Wed Sep 21 2016,21:45,-0300,Cruzeiro,1-0,1-0,Botafogo RJ,,,2016-09-22T00:45Z
Round of 16,Wed Sep 21 2016,19:30,-0300,Botafogo PB,1-0,0-0,Palmeiras,,,2016-09-21T22:30Z
Round of 16,Thu Sep 22 2016,19:15,-0300,Fortaleza CE,1-0,1-0,Internacional,,,2016-09-22T22:15Z
Round of 16,Thu Sep 22 2016,21:30,-0300,Juventude RS,0-1,0-0,São Paulo FC,,,2016-09-23T00:30Z
Quarterfinals,Wed Sep 28 2016,19:30,-0300,Santos FC,2-1,0-0,Internacional,,,2016-09-28T22:30Z
Quarterfinals,Wed Sep 28 2016,21:45,-0300,Corinthians SP,2-1,0-0,Cruzeiro,,,2016-09-29T00:45Z
Quarterfinals,Wed Sep 28 2016,21:45,-0300,Grêmio Porto Alegre,2-1,2-0,Palmeiras,,,2016-09-29T00:45Z
Quarterfinals,Wed Sep 28 2016,19:30,-0300,Atlético Mineiro,1-0,1-0,Juventude RS,,,2016-09-28T22:30Z
Quarterfinals,Wed Oct 19 2016,19:30,-0200,Juventude RS,1-0,1-0,Atlético Mineiro,2-4,,2016-10-19T21:30Z
Quarterfinals,Wed Oct 19 2016,19:30,-0200,Internacional,2-0,1-0,Santos FC,,,2016-10-19T21:30Z
Quarterfinals,Wed Oct 19 2016,21:45,-0200,Cruzeiro,4-2,1-1,Corinthians SP,,,2016-10-19T23:45Z
Quarterfinals,Wed Oct 19 2016,21:45,-0200,Palmeiras,1-1,0-0,Grêmio Porto Alegre,,,2016-10-19T23:45Z
Semifinals,Wed Oct 26 2016,21:45,-0200,Cruzeiro,0-2,0-1,Grêmio Porto Alegre,,,2016-10-26T23:45Z
Semifinals,Wed Oct 26 2016,21:45,-0200,Internacional,1-2,0-1,Atlético Mineiro,,,2016-10-26T23:45Z
Semifinals,Wed Nov 2 2016,21:45,-0200,Grêmio Porto Alegre,0-0,0-0,Cruzeiro,,,2016-11-02T23:45Z
Semifinals,Wed Nov 2 2016,21:45,-0200,Atlético Mineiro,2-2,1-2,Internacional,,,2016-11-02T23:45Z
Final,Wed Nov 23 2016,21:45,-0200,Atlético Mineiro,1-3,0-1,Grêmio Porto Alegre,,,2016-11-23T23:45Z
Final,Wed Dec 7 2016,21:45,-0200,Grêmio Porto Alegre,1-1,0-0,Atlético Mineiro,,,2016-12-07T23:45Z
