Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,29,Sat Mar 7 2020,20:00,Royal Excel Mouscron,1-0,0-0,Waasland-Beveren,
Regular Season,29,Sat Mar 7 2020,20:00,KV Oostende,2-4,1-0,KRC Genk,
Regular Season,29,Sat Mar 7 2020,20:00,Standard Liège,0-0,0-0,Sint-Truidense VV,
Regular Season,30,Sun Mar 15 2020,,KRC Genk,(*),,KV Mechelen,cancelled
Regular Season,30,Sun Mar 15 2020,,AS Eupen,(*),,Club Brugge KV,cancelled
Regular Season,30,Sun Mar 15 2020,,SV Zulte Waregem,(*),,Standard Liège,cancelled
Regular Season,30,Sun Mar 15 2020,,Cercle Brugge,(*),,KV Oostende,cancelled
Regular Season,30,Sun Mar 15 2020,,Sporting Charleroi,(*),,KV Kortrijk,cancelled
Regular Season,30,Sun Mar 15 2020,,Royal Antwerp FC,(*),,Royal Excel Mouscron,cancelled
Regular Season,30,Sun Mar 15 2020,,Waasland-Beveren,(*),,KAA Gent,cancelled
Regular Season,30,Sun Mar 15 2020,,Sint-Truidense VV,(*),,RSC Anderlecht,cancelled
