Stage,Round,Date,Time,Team 1,FT,HT,Team 2,ET,P,Comments
Clausura,4,Sun Feb 2 2020,02:00,CF Pachuca,2-0,0-0,UANL Tigres,,,
Clausura,4,Sun Feb 2 2020,00:00,Club Necaxa,2-0,1-0,Puebla FC,,,
Clausura,1,Wed Feb 5 2020,03:30,Puebla FC,0-1,0-0,CF América,,,
Clausura,1,Thu Feb 6 2020,03:30,Club Necaxa,2-2,1-1,CF Monterrey,,,
Clausura,5,Fri Feb 7 2020,04:15,Atlas Guadalajara,1-3,0-1,Monarcas Morelia,,,
Clausura,5,Sat Feb 8 2020,04:00,Puebla FC,2-2,0-1,Santos Laguna,,,
Clausura,5,Sat Feb 8 2020,04:10,Club Tijuana,1-1,0-0,Deportivo Toluca,,,
Clausura,5,Sun Feb 9 2020,19:00,Pumas UNAM,4-0,2-0,Atlético San Luis,,,
Clausura,5,Sun Feb 9 2020,02:00,UANL Tigres,3-0,0-0,Deportivo Guadalajara,,,
Clausura,5,Sun Feb 9 2020,04:00,Club León,3-1,1-1,CF Monterrey,,,
Clausura,5,Sun Feb 9 2020,00:00,Cruz Azul,3-1,0-0,CF Pachuca,,,
Clausura,5,Mon Feb 10 2020,01:00,Gallos Blancos,1-2,1-1,CF América,,,
Clausura,5,Mon Feb 10 2020,03:00,FC Juárez,2-1,1-1,Club Necaxa,,,
Clausura,6,Sat Feb 15 2020,02:00,Atlético San Luis,3-1,1-1,Club León,,,
Clausura,6,Sat Feb 15 2020,04:00,Monarcas Morelia,1-1,1-0,Club Tijuana,,,
Clausura,6,Sun Feb 16 2020,00:00,CF Pachuca,1-0,1-0,Puebla FC,,,
Clausura,6,Sun Feb 16 2020,04:00,Deportivo Guadalajara,1-2,1-2,Cruz Azul,,,
Clausura,6,Sun Feb 16 2020,02:00,CF América,2-0,1-0,Atlas Guadalajara,,,
Clausura,6,Sun Feb 16 2020,02:06,CF Monterrey,1-1,1-1,FC Juárez,,,
Clausura,6,Sun Feb 16 2020,00:00,Deportivo Toluca,2-3,2-1,Pumas UNAM,,,
Clausura,6,Mon Feb 17 2020,00:00,Club Necaxa,2-3,1-2,Gallos Blancos,,,
Clausura,6,Mon Feb 17 2020,01:45,Santos Laguna,2-1,1-0,UANL Tigres,,,
Clausura,7,Sat Feb 22 2020,02:00,Atlas Guadalajara,0-2,0-0,CF Pachuca,,,
Clausura,7,Sat Feb 22 2020,04:00,Puebla FC,2-0,1-0,Deportivo Toluca,,,
Clausura,7,Sat Feb 22 2020,04:10,Club Tijuana,0-1,0-1,Deportivo Guadalajara,,,
Clausura,7,Sun Feb 23 2020,00:00,Club León,2-1,1-0,Club Necaxa,,,
Clausura,7,Sun Feb 23 2020,02:00,Cruz Azul,2-1,1-0,UANL Tigres,,,
Clausura,7,Sun Feb 23 2020,04:00,CF Monterrey,0-1,0-1,CF América,,,
Clausura,7,Sun Feb 23 2020,19:00,Pumas UNAM,1-2,1-0,Monarcas Morelia,,,
Clausura,7,Mon Feb 24 2020,00:00,Gallos Blancos,0-1,0-1,Atlético San Luis,,,
Clausura,7,Mon Feb 24 2020,02:00,FC Juárez,1-2,0-1,Santos Laguna,,,
Clausura,8,Sat Feb 29 2020,02:00,Atlético San Luis,0-3,0-3,FC Juárez,,,
Clausura,8,Sat Feb 29 2020,02:00,Deportivo Toluca,2-0,0-0,CF Monterrey,,,
Clausura,8,Sat Feb 29 2020,04:10,Club Tijuana,0-1,0-0,Puebla FC,,,
Clausura,8,Sat Feb 29 2020,04:00,Monarcas Morelia,2-4,0-2,Cruz Azul,,,
Clausura,8,Sun Mar 1 2020,00:00,CF Pachuca,1-1,1-0,Gallos Blancos,,,
Clausura,8,Sun Mar 1 2020,02:00,CF América,0-3,0-2,Club Necaxa,,,
Clausura,8,Sun Mar 1 2020,04:00,UANL Tigres,3-0,1-0,Pumas UNAM,,,
Clausura,8,Mon Mar 2 2020,00:00,Deportivo Guadalajara,2-0,0-0,Club León,,,
Clausura,8,Mon Mar 2 2020,01:45,Santos Laguna,1-0,1-0,Atlas Guadalajara,,,
Clausura,9,Sat Mar 7 2020,02:00,Gallos Blancos,1-1,0-1,Deportivo Toluca,,,
Clausura,9,Sat Mar 7 2020,03:00,Pumas UNAM,3-3,1-1,CF América,,,
Clausura,9,Sat Mar 7 2020,04:00,Puebla FC,0-0,0-0,UANL Tigres,,,
Clausura,9,Sun Mar 8 2020,00:00,CF Monterrey,2-2,1-0,Atlético San Luis,,,
Clausura,9,Sun Mar 8 2020,00:00,Cruz Azul,4-2,1-1,Club Tijuana,,,
Clausura,9,Sun Mar 8 2020,02:00,CF Pachuca,1-0,1-0,Santos Laguna,,,
Clausura,9,Sun Mar 8 2020,04:06,Atlas Guadalajara,1-2,0-2,Deportivo Guadalajara,,,
Clausura,9,Mon Mar 9 2020,00:00,Club Necaxa,1-2,1-2,Monarcas Morelia,,,
Clausura,9,Mon Mar 9 2020,02:00,FC Juárez,1-4,1-0,Club León,,,
Clausura,10,Sat Mar 14 2020,04:00,Monarcas Morelia,4-0,1-0,Gallos Blancos,,,
Clausura,10,Sat Mar 14 2020,04:10,Club Tijuana,3-2,1-1,CF Pachuca,,,
Clausura,10,Sun Mar 15 2020,19:00,Deportivo Toluca,2-3,1-1,Atlas Guadalajara,,,
Clausura,10,Sun Mar 15 2020,02:00,UANL Tigres,3-2,0-1,FC Juárez,,,
Clausura,10,Sun Mar 15 2020,02:00,Club León,3-1,2-1,Pumas UNAM,,,
