Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,Comments,UTC
Gruppe A,Sat Nov 21 2020,16:00,-0300,Ji-Paraná RO,1-0,0-0,Vilhenense RO,,,,2020-11-21T19:00Z
Gruppe E,Sat Nov 21 2020,16:00,-0300,União Rondonópolis MT,1-2,0-0,Goiânia GO,,,,2020-11-21T19:00Z
Gruppe G,Sun Nov 22 2020,19:00,-0300,Mirassol SP,2-0,1-0,Cabofriense RJ,,,,2020-11-22T22:00Z
Gruppe B,Sun Nov 22 2020,16:00,-0300,Sinop MT,0-0,0-0,Moto Club MA,,,,2020-11-22T19:00Z
Gruppe C,Sun Nov 22 2020,15:30,-0300,Guarany de Sobral CE,0-0,0-0,Globo RN,,,,2020-11-22T18:30Z
Gruppe A,Sun Nov 22 2020,18:00,-0300,Rio Branco AC,0-2,0-1,Fast Clube AM,,,,2020-11-22T21:00Z
Gruppe C,Sun Nov 22 2020,15:00,-0300,América RN,2-1,1-0,Floresta CE,,,,2020-11-22T18:00Z
Gruppe D,Sun Nov 22 2020,16:00,-0300,Itabaiana SE,2-1,1-0,Central PE,,,,2020-11-22T19:00Z
Gruppe F,Sun Nov 22 2020,16:00,-0300,Villa Nova MG,0-2,0-1,Bahia de Feira BA,,,,2020-11-22T19:00Z
Gruppe E,Sun Nov 22 2020,16:00,-0300,Goianésia GO,2-0,0-0,Operário MT,,,,2020-11-22T19:00Z
Gruppe D,Sun Nov 22 2020,16:00,-0300,Vitória da Conquista BA,3-0,0-0,Freipaulistano SE,,,,2020-11-22T19:00Z
Gruppe G,Sun Nov 22 2020,16:00,-0300,Cascavel FC PR,3-0,2-0,Bangu RJ,,,,2020-11-22T19:00Z
Gruppe C,Sun Nov 22 2020,16:00,-0300,Atlético Cajazeirense PB,2-1,0-0,Salgueiro PE,,,,2020-11-22T19:00Z
Gruppe B,Mon Nov 23 2020,15:45,-0300,Altos PI,2-0,2-0,Santos AP,,,,2020-11-23T18:45Z
Gruppe B,Mon Nov 23 2020,17:00,-0300,Baré RR,1-3,0-0,River PI,,,,2020-11-23T20:00Z
Gruppe A,Mon Nov 23 2020,15:00,-0300,Bragantino PA,4-0,1-0,Atlético Acreano AC,,,,2020-11-23T18:00Z
Gruppe D,Mon Nov 23 2020,15:00,-0300,Potiguar de Mossoró RN,5-3,2-3,Coruripe AL,,,,2020-11-23T18:00Z
Gruppe B,Tue Nov 24 2020,15:30,-0300,Juventude MA,1-0,1-0,São Raimundo RR,,,,2020-11-24T18:30Z
Gruppe D,Fri Nov 27 2020,15:00,-0300,Coruripe AL,1-0,1-0,Vitória da Conquista BA,,,,2020-11-27T18:00Z
Gruppe F,Fri Nov 27 2020,16:00,-0300,Bahia de Feira BA,0-1,0-1,Tupynambás MG,,,,2020-11-27T19:00Z
Gruppe C,Fri Nov 27 2020,15:00,-0300,Floresta CE,5-1,1-1,Afogados da Ingazeira PE,,,,2020-11-27T18:00Z
Gruppe F,Fri Nov 27 2020,16:00,-0300,Gama DF,2-1,2-1,Atlético de Alagoinhas BA,,,,2020-11-27T19:00Z
Gruppe C,Fri Nov 27 2020,15:00,-0300,Salgueiro PE,2-0,0-0,Guarany de Sobral CE,,,,2020-11-27T18:00Z
Gruppe F,Fri Nov 27 2020,16:00,-0300,Caldense MG,1-2,1-1,Brasiliense DF,,,,2020-11-27T19:00Z
Gruppe F,Fri Nov 27 2020,16:00,-0300,Palmas TO,0-1,0-0,Villa Nova MG,,,,2020-11-27T19:00Z
Gruppe C,Fri Nov 27 2020,15:00,-0300,Campinense PB,0-0,0-0,América RN,,,,2020-11-27T18:00Z
Gruppe D,Fri Nov 27 2020,15:00,-0300,Central PE,3-0,1-0,Jacyobá AL,,,,2020-11-27T18:00Z
Gruppe D,Fri Nov 27 2020,15:00,-0300,Freipaulistano SE,1-1,0-1,Potiguar de Mossoró RN,,,,2020-11-27T18:00Z
Gruppe D,Fri Nov 27 2020,15:00,-0300,ABC RN,2-0,1-0,Itabaiana SE,,,,2020-11-27T18:00Z
Gruppe C,Fri Nov 27 2020,15:00,-0300,Globo RN,3-0,0-0,Atlético Cajazeirense PB,,,,2020-11-27T18:00Z
Gruppe A,Sat Nov 28 2020,16:00,-0300,Vilhenense RO,0-3,0-2,Bragantino PA,,,,2020-11-28T19:00Z
Gruppe A,Sat Nov 28 2020,16:00,-0300,Fast Clube AM,1-1,0-1,Galvez AC,,,,2020-11-28T19:00Z
Gruppe A,Sat Nov 28 2020,16:00,-0300,Independente PA,3-2,0-2,Rio Branco AC,,,,2020-11-28T19:00Z
Gruppe G,Sat Nov 28 2020,15:00,-0300,Bangu RJ,0-0,0-0,Mirassol SP,,,,2020-11-28T18:00Z
Gruppe G,Sat Nov 28 2020,15:00,-0300,Ferroviária SP,2-0,1-0,Nacional PR,,,,2020-11-28T18:00Z
Gruppe G,Sat Nov 28 2020,15:00,-0300,Cabofriense RJ,0-1,0-0,Cascavel FC PR,,,,2020-11-28T18:00Z
Gruppe G,Sat Nov 28 2020,15:00,-0300,Toledo Esporte Clube,0-1,0-1,Portuguesa RJ,,,,2020-11-28T18:00Z
Gruppe A,Sat Nov 28 2020,18:00,-0300,Atlético Acreano AC,2-2,0-1,Ji-Paraná RO,,,,2020-11-28T21:00Z
Gruppe B,Sat Nov 28 2020,16:00,-0300,Santos AP,1-2,1-0,Juventude MA,,,,2020-11-28T19:00Z
Gruppe B,Sat Nov 28 2020,16:00,-0300,São Raimundo RR,3-0,0-0,Altos PI,,,,2020-11-28T19:00Z
Gruppe B,Sat Nov 28 2020,16:00,-0300,River PI,2-0,1-0,Sinop MT,,,,2020-11-28T19:00Z
Gruppe B,Sat Nov 28 2020,16:00,-0300,Moto Club MA,1-0,1-0,Baré RR,,,,2020-11-28T19:00Z
Gruppe E,Sat Nov 28 2020,16:00,-0300,Vitória ES,1-0,0-0,Goianésia GO,,,,2020-11-28T19:00Z
Gruppe E,Sat Nov 28 2020,16:00,-0300,Operário MT,2-6,0-3,Aparecidense GO,,,,2020-11-28T19:00Z
Gruppe E,Sat Nov 28 2020,16:00,-0300,Águia Negra MS,4-3,1-2,União Rondonópolis MT,,,,2020-11-28T19:00Z
Gruppe E,Sat Nov 28 2020,16:00,-0300,Goiânia GO,1-0,0-0,Real Noroeste ES,,,,2020-11-28T19:00Z
Gruppe H,Sat Nov 28 2020,15:00,-0300,Marcílio Dias SC,1-0,1-0,Pelotas RS,,,,2020-11-28T18:00Z
Gruppe H,Sat Nov 28 2020,15:00,-0300,Grêmio Novorizontino SP,0-0,0-0,Joinville SC,,,,2020-11-28T18:00Z
Gruppe H,Sat Nov 28 2020,15:00,-0300,S.E.R. Caxias RS,6-0,1-0,São Caetano SP,,,,2020-11-28T18:00Z
Gruppe H,Sat Nov 28 2020,15:00,-0300,São Luiz RS,3-0,1-0,Tubarão SC,,,,2020-11-28T18:00Z
Sechzehntelfinale,Sat Dec 5 2020,15:00,-0300,Atlético de Alagoinhas BA,1-1,0-0,Goiânia GO,,,,2020-12-05T18:00Z
Sechzehntelfinale,Sat Dec 5 2020,15:30,-0300,Juventude MA,1-1,1-1,Bragantino PA,,,,2020-12-05T18:30Z
Sechzehntelfinale,Sat Dec 5 2020,16:00,-0300,Marcílio Dias SC,0-0,0-0,Ferroviária SP,,,,2020-12-05T19:00Z
Sechzehntelfinale,Sat Dec 5 2020,16:00,-0300,S.E.R. Caxias RS,1-0,1-0,Mirassol SP,,,,2020-12-05T19:00Z
Sechzehntelfinale,Sat Dec 5 2020,16:00,-0300,Cascavel FC PR,1-0,0-0,Grêmio Novorizontino SP,,,,2020-12-05T19:00Z
Sechzehntelfinale,Sat Dec 5 2020,15:00,-0300,Floresta CE,2-1,2-0,Itabaiana SE,,,,2020-12-05T18:00Z
Sechzehntelfinale,Sun Dec 6 2020,15:00,-0300,Coruripe AL,1-0,0-0,América RN,,,,2020-12-06T18:00Z
Sechzehntelfinale,Sun Dec 6 2020,15:00,-0300,Globo RN,2-1,1-0,ABC RN,,,,2020-12-06T18:00Z
Sechzehntelfinale,Sun Dec 6 2020,15:00,-0300,Cabofriense RJ,1-1,0-1,São Luiz RS,,,,2020-12-06T18:00Z
Sechzehntelfinale,Sun Dec 6 2020,15:00,-0300,Real Noroeste ES,1-1,0-1,Brasiliense DF,,,,2020-12-06T18:00Z
Sechzehntelfinale,Sun Dec 6 2020,15:30,-0300,Moto Club MA,2-2,0-0,Fast Clube AM,,,,2020-12-06T18:30Z
Sechzehntelfinale,Sun Dec 6 2020,16:00,-0300,Vitória da Conquista BA,4-3,2-0,Salgueiro PE,,,,2020-12-06T19:00Z
Sechzehntelfinale,Sun Dec 6 2020,16:00,-0300,Tupynambás MG,1-1,0-0,Aparecidense GO,,,,2020-12-06T19:00Z
Sechzehntelfinale,Sun Dec 6 2020,16:00,-0300,Goianésia GO,2-2,1-1,Gama DF,,,,2020-12-06T19:00Z
Sechzehntelfinale,Sun Dec 6 2020,18:00,-0300,Galvez AC,0-0,0-0,River PI,,,,2020-12-06T21:00Z
Sechzehntelfinale,Mon Dec 7 2020,18:00,-0300,Rio Branco AC,0-2,0-2,Altos PI,,,,2020-12-07T21:00Z
Sechzehntelfinale,Sat Dec 12 2020,15:00,-0300,Bragantino PA,1-1,1-0,Juventude MA,1-1,3-4,,2020-12-12T18:00Z
Sechzehntelfinale,Sat Dec 12 2020,15:00,-0300,Itabaiana SE,2-2,0-0,Floresta CE,,,,2020-12-12T18:00Z
Sechzehntelfinale,Sat Dec 12 2020,15:30,-0300,ABC RN,1-1,1-0,Globo RN,,,,2020-12-12T18:30Z
Sechzehntelfinale,Sat Dec 12 2020,16:00,-0300,Brasiliense DF,3-0,1-0,Real Noroeste ES,,,,2020-12-12T19:00Z
Sechzehntelfinale,Sat Dec 12 2020,16:00,-0300,Goiânia GO,3-2,2-1,Atlético de Alagoinhas BA,,,,2020-12-12T19:00Z
Sechzehntelfinale,Sat Dec 12 2020,16:00,-0300,Grêmio Novorizontino SP,3-0,1-0,Cascavel FC PR,,,,2020-12-12T19:00Z
Sechzehntelfinale,Sun Dec 13 2020,15:00,-0300,América RN,5-0,1-0,Coruripe AL,,,,2020-12-13T18:00Z
Sechzehntelfinale,Sun Dec 13 2020,15:30,-0300,Mirassol SP,1-0,1-0,S.E.R. Caxias RS,1-0,3-0,,2020-12-13T18:30Z
Sechzehntelfinale,Sun Dec 13 2020,15:45,-0300,Altos PI,3-1,1-1,Rio Branco AC,,,,2020-12-13T18:45Z
Sechzehntelfinale,Sun Dec 13 2020,16:00,-0300,River PI,0-1,0-0,Galvez AC,,,,2020-12-13T19:00Z
Sechzehntelfinale,Sun Dec 13 2020,16:00,-0300,Aparecidense GO,4-0,2-0,Tupynambás MG,,,,2020-12-13T19:00Z
Sechzehntelfinale,Sun Dec 13 2020,16:00,-0300,Gama DF,1-2,1-2,Goianésia GO,,,,2020-12-13T19:00Z
Sechzehntelfinale,Sun Dec 13 2020,17:00,-0300,São Luiz RS,2-0,1-0,Cabofriense RJ,,,,2020-12-13T20:00Z
Sechzehntelfinale,Sun Dec 13 2020,18:00,-0300,Fast Clube AM,1-1,1-0,Moto Club MA,1-1,6-5,,2020-12-13T21:00Z
Sechzehntelfinale,Sun Dec 13 2020,18:00,-0300,Ferroviária SP,1-2,1-0,Marcílio Dias SC,,,,2020-12-13T21:00Z
Sechzehntelfinale,Sun Dec 13 2020,19:00,-0300,Salgueiro PE,4-0,1-0,Vitória da Conquista BA,,,,2020-12-13T22:00Z
Round of 16,Sat Dec 19 2020,16:00,-0300,Goiânia GO,1-1,0-1,Grêmio Novorizontino SP,,,,2020-12-19T19:00Z
Round of 16,Sat Dec 19 2020,16:00,-0300,Marcílio Dias SC,2-1,1-1,Goianésia GO,,,,2020-12-19T19:00Z
Round of 16,Sun Dec 20 2020,15:00,-0300,Globo RN,2-1,0-1,Fast Clube AM,,,,2020-12-20T18:00Z
Round of 16,Sun Dec 20 2020,15:30,-0300,Juventude MA,2-2,1-0,Floresta CE,,,,2020-12-20T18:30Z
Round of 16,Sun Dec 20 2020,15:30,-0300,Mirassol SP,4-0,1-0,Brasiliense DF,,,,2020-12-20T18:30Z
Round of 16,Sun Dec 20 2020,16:00,-0300,Salgueiro PE,1-1,1-1,Altos PI,,,,2020-12-20T19:00Z
Round of 16,Sun Dec 20 2020,17:00,-0300,São Luiz RS,0-4,0-1,Aparecidense GO,,,,2020-12-20T20:00Z
Round of 16,Sun Dec 20 2020,18:00,-0300,Galvez AC,1-1,1-0,América RN,,,,2020-12-20T21:00Z
Round of 16,Sat Dec 26 2020,17:00,-0300,Fast Clube AM,1-0,0-0,Globo RN,1-0,6-5,,2020-12-26T20:00Z
Round of 16,Sun Dec 27 2020,15:00,-0300,Brasiliense DF,2-1,0-1,Mirassol SP,,,,2020-12-27T18:00Z
Round of 16,Sun Dec 27 2020,15:45,-0300,Altos PI,1-1,1-1,Salgueiro PE,,4-2,,2020-12-27T18:45Z
Round of 16,Sun Dec 27 2020,16:00,-0300,Floresta CE,2-0,1-0,Juventude MA,,,,2020-12-27T19:00Z
Round of 16,Sun Dec 27 2020,16:00,-0300,América RN,5-1,1-0,Galvez AC,,,,2020-12-27T19:00Z
Round of 16,Sun Dec 27 2020,16:00,-0300,Aparecidense GO,1-2,0-0,São Luiz RS,,,,2020-12-27T19:00Z
Round of 16,Sun Dec 27 2020,16:00,-0300,Goianésia GO,1-1,1-0,Marcílio Dias SC,,,,2020-12-27T19:00Z
Round of 16,Sun Dec 27 2020,16:00,-0300,Grêmio Novorizontino SP,4-0,1-0,Goiânia GO,,,,2020-12-27T19:00Z
Quarterfinals,Sat Jan 2 2021,19:00,-0300,Mirassol SP,2-1,0-1,Aparecidense GO,,,,2021-01-02T22:00Z
Quarterfinals,Sat Jan 2 2021,16:00,-0300,Floresta CE,2-0,1-0,América RN,,,,2021-01-02T19:00Z
Quarterfinals,Sun Jan 3 2021,16:00,-0300,Fast Clube AM,0-1,0-1,Grêmio Novorizontino SP,,,,2021-01-03T19:00Z
Quarterfinals,Sun Jan 3 2021,16:00,-0300,Marcílio Dias SC,1-1,0-0,Altos PI,,,,2021-01-03T19:00Z
Quarterfinals,Sat Jan 9 2021,16:00,-0300,Aparecidense GO,2-3,1-0,Mirassol SP,,,,2021-01-09T19:00Z
Quarterfinals,Sun Jan 10 2021,15:45,-0300,Altos PI,5-1,1-0,Marcílio Dias SC,,,,2021-01-10T18:45Z
Quarterfinals,Sun Jan 10 2021,16:00,-0300,América RN,1-1,1-0,Floresta CE,,,,2021-01-10T19:00Z
Quarterfinals,Sun Jan 10 2021,16:00,-0300,Grêmio Novorizontino SP,3-0,3-0,Fast Clube AM,,,,2021-01-10T19:00Z
Semifinals,Sat Jan 16 2021,18:00,-0300,Floresta CE,1-1,1-1,Grêmio Novorizontino SP,,,,2021-01-16T21:00Z
Semifinals,Sun Jan 17 2021,16:00,-0300,Mirassol SP,4-0,4-0,Altos PI,,,,2021-01-17T19:00Z
Semifinals,Sat Jan 23 2021,18:00,-0300,Grêmio Novorizontino SP,0-2,0-0,Floresta CE,,,,2021-01-23T21:00Z
Semifinals,Sun Jan 24 2021,15:45,-0300,Altos PI,0-1,0-1,Mirassol SP,,,,2021-01-24T18:45Z
Final,Sat Jan 30 2021,16:00,-0300,Floresta CE,0-1,0-0,Mirassol SP,,,,2021-01-30T19:00Z
Final,Sat Feb 6 2021,16:00,-0300,Mirassol SP,1-0,1-0,Floresta CE,,,,2021-02-06T19:00Z
