Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Clausura,1,Sun Jan 6 2019,00:00,Gallos Blancos,1-2,1-1,Atlas Guadalajara
Clausura,1,Sun Jan 6 2019,00:06,CF Monterrey,5-0,1-0,CF Pachuca
Clausura,1,Sun Jan 6 2019,02:06,Club León,2-2,1-1,UANL Tigres
Clausura,1,Sun Jan 6 2019,04:00,Deportivo Guadalajara,2-0,0-0,Club Tijuana
Clausura,1,Sun Jan 6 2019,23:00,Lobos BUAP,2-0,0-0,Santos Laguna
Clausura,1,Sun Jan 6 2019,19:00,Pumas UNAM,0-0,0-0,CD Veracruz
Clausura,2,Sat Jan 12 2019,04:00,Atlas Guadalajara,1-2,0-0,CF América
Clausura,2,Sat Jan 12 2019,02:00,CD Veracruz,0-1,0-0,Lobos BUAP
Clausura,2,Sun Jan 13 2019,19:00,Deportivo Toluca,2-0,1-0,Puebla FC
Clausura,2,Sun Jan 13 2019,00:00,CF Monterrey,2-2,0-0,Club León
Clausura,2,Sun Jan 13 2019,04:00,Club Tijuana,0-3,0-0,UANL Tigres
Clausura,2,Sun Jan 13 2019,02:06,CF Pachuca,3-0,0-0,Gallos Blancos
Clausura,2,Sun Jan 13 2019,04:00,Club Necaxa,2-1,1-0,Pumas UNAM
Clausura,2,Sun Jan 13 2019,02:00,Cruz Azul,0-1,0-0,Deportivo Guadalajara
Clausura,2,Mon Jan 14 2019,01:00,Santos Laguna,1-0,0-0,Monarcas Morelia
Clausura,3,Sat Jan 19 2019,04:00,Puebla FC,1-1,1-1,Santos Laguna
Clausura,3,Sat Jan 19 2019,04:00,Monarcas Morelia,2-0,0-0,CD Veracruz
Clausura,3,Sun Jan 20 2019,23:00,Lobos BUAP,2-3,2-1,Club Necaxa
Clausura,3,Sun Jan 20 2019,00:00,Gallos Blancos,1-2,1-0,CF Monterrey
Clausura,3,Sun Jan 20 2019,02:00,CF América,3-0,1-0,CF Pachuca
Clausura,3,Sun Jan 20 2019,04:00,UANL Tigres,0-1,0-1,Cruz Azul
Clausura,3,Sun Jan 20 2019,19:00,Pumas UNAM,2-2,2-0,Atlas Guadalajara
Clausura,3,Mon Jan 21 2019,03:00,Club León,0-1,0-1,Club Tijuana
Clausura,3,Mon Jan 21 2019,01:30,Deportivo Guadalajara,1-0,0-0,Deportivo Toluca
Clausura,4,Sat Jan 26 2019,04:00,Atlas Guadalajara,3-1,1-0,Lobos BUAP
Clausura,4,Sat Jan 26 2019,02:00,CD Veracruz,0-1,0-1,Puebla FC
Clausura,4,Sun Jan 27 2019,23:00,Gallos Blancos,0-4,0-3,Club León
Clausura,4,Sun Jan 27 2019,00:00,Cruz Azul,1-0,1-0,Club Tijuana
Clausura,4,Sun Jan 27 2019,00:00,CF Monterrey,3-2,1-1,CF América
Clausura,4,Sun Jan 27 2019,02:00,CF Pachuca,1-0,0-0,Pumas UNAM
Clausura,4,Sun Jan 27 2019,04:00,Club Necaxa,0-0,0-0,Monarcas Morelia
Clausura,4,Sun Jan 27 2019,19:00,Deportivo Toluca,0-1,0-1,UANL Tigres
Clausura,4,Mon Jan 28 2019,01:06,Santos Laguna,1-0,1-0,Deportivo Guadalajara
Clausura,5,Sat Feb 2 2019,04:00,Puebla FC,1-4,1-2,Club Necaxa
