Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
Playoffs - Championship,27,Wed Apr 26 2023,20:30,CEST/+0200,Rapid Wien,1-1,1-1,RB Salzburg,,2023-04-26T18:30Z
Playoffs - Relegation,27,Fri Apr 28 2023,19:30,CEST/+0200,SCR Altach,0-2,0-1,Wolfsberger AC,,2023-04-28T17:30Z
Playoffs - Relegation,27,Sat Apr 29 2023,17:00,CEST/+0200,WSG Tirol,1-1,1-0,TSV Hartberg,,2023-04-29T15:00Z
Playoffs - Relegation,27,Sat Apr 29 2023,17:00,CEST/+0200,SV Ried,4-4,1-3,Austria Lustenau,,2023-04-29T15:00Z
Playoffs - Championship,27,Sun Apr 30 2023,17:00,CEST/+0200,LASK,4-0,0-0,SK Austria Klagenfurt,,2023-04-30T15:00Z
Playoffs - Relegation,28,Fri May 5 2023,19:30,CEST/+0200,Wolfsberger AC,0-0,0-0,SCR Altach,,2023-05-05T17:30Z
Playoffs - Relegation,28,Sat May 6 2023,17:00,CEST/+0200,Austria Lustenau,2-2,1-0,SV Ried,,2023-05-06T15:00Z
Playoffs - Relegation,28,Sat May 6 2023,17:00,CEST/+0200,TSV Hartberg,5-0,4-0,WSG Tirol,,2023-05-06T15:00Z
Playoffs - Championship,28,Sun May 7 2023,14:30,CEST/+0200,Austria Wien,1-2,0-2,Sturm Graz,,2023-05-07T12:30Z
Playoffs - Championship,28,Sun May 7 2023,17:00,CEST/+0200,RB Salzburg,2-1,1-0,Rapid Wien,,2023-05-07T15:00Z
Playoffs - Championship,28,Sun May 7 2023,14:30,CEST/+0200,SK Austria Klagenfurt,1-1,1-0,LASK,,2023-05-07T12:30Z
Playoffs - Relegation,29,Fri May 12 2023,19:30,CEST/+0200,WSG Tirol,1-1,1-1,SV Ried,,2023-05-12T17:30Z
Playoffs - Relegation,29,Sat May 13 2023,17:00,CEST/+0200,Wolfsberger AC,2-2,2-2,Austria Lustenau,,2023-05-13T15:00Z
Playoffs - Relegation,29,Sat May 13 2023,17:00,CEST/+0200,SCR Altach,0-1,0-1,TSV Hartberg,,2023-05-13T15:00Z
Playoffs - Championship,29,Sun May 14 2023,14:30,CEST/+0200,LASK,0-1,0-0,RB Salzburg,,2023-05-14T12:30Z
Playoffs - Championship,29,Sun May 14 2023,17:00,CEST/+0200,Austria Wien,3-1,2-1,Rapid Wien,,2023-05-14T15:00Z
